workerid,proliferate.condition,order,paraphrase,rating,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1556,condition1,,,,"['Linda', 'Linda']",1,bot_check,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.99,,4,example1,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.01,,4,example1,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0,,4,example1,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,4,example1,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0,,5,example2,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,1,,5,example2,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,1.1102230246251563e-16,,5,example2,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,5,example2,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.24,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.07000000000000017,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0.69,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.24,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.07000000000000017,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0.69,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.24,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.07000000000000017,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0.69,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.24,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.07000000000000017,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0.69,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.24,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.07000000000000017,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0.69,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.24,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.07000000000000017,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0.69,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.6299999999999999,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.07000000000000017,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0.3,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,6,example3,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0,,7,example4,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0,,7,example4,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,1,,7,example4,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,7,example4,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0,,9,control_a_tissue,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0,,9,control_a_tissue,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,1,,9,control_a_tissue,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,9,control_a_tissue,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.99,,10,control_all_novels,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0,,10,control_all_novels,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0,,10,control_all_novels,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,10,control_all_novels,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,0.01000000000000012,,11,5742:24,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0.99,,11,5742:24,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,0,,11,5742:24,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,11,5742:24,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,all,1.1102230246251563e-16,,12,control_a_napkin,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,the,0,,12,control_a_napkin,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,a,1,,12,control_a_napkin,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
1556,condition1,all-the-a,other,0,,12,control_a_napkin,[],18,Yes,,1,1,1,Female,"spanish, english",Chrome,Windows,720,1280,10.2886,
