TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse
6696:53	what would you have, who, who, who would *t*-2 determine what these people do *t*-1.	###yeah.###speakerb72.###i don't know.###speakera73.###yeah###the only,###speakerb74.###like * to have a volunteer come here and rake leaves and mow the grass and,###speakera75.###well, you know that brings up the interesting subject too, you know,	who	yes	Who is a person...?	Who is every person...?	Who is the person...?
84674:4	how can you even think like that *t*-1?	###so they, they picked on this kid who *t*-1 was like new in town.###speakera182.###uh-huh.###speakerb183.###and they were like, well, no one was going *-1 to miss him anyway, you know,###and it like,###speakera184.###oh, god.###speakerb185.###ugh, that is horrible.	how	yes	What is a way...?	What is every way...?	What is the way...?
115953:33	you know, how can you, how can you justify * raising anybody's salary if you, you know, if you have *-1 to lay people off *t*-2?	###but, this, you know, this, uh,###i think 0 *-1 living in richardson, we're kind of spoiled because i think 0 we get, we come closer to *-2 getting our money's worth as far as the city is concerned, i think than probably any, any city in the country.###speakera42.###yes,###well, did you read in the dallas paper where they increased the teach-, the administrators' pay by thirty three percent after they laid off all those teachers *t*-1.###speakerb43.###is that incredible?###speakera44.###speakerb45.### that's, that's the biggest mess 0 i've ever heard of *t*-1.	how	yes	What is a way...?	What is every way...?	What is the way...?
75050:4	how was life different ten, twenty, or thirty years ago *t*-1.	###speakerb40.###uh-huh.###so, what was our question about *t*-1,###decline in socio-,###speakera41.###* wasn't the decline so much.###i think 0 they just said the changes in, uh, social, social changes in the united states.###speakerb42.###yeah.###speakera43.	how	no	What is a way...?	What is every way...?	What is the way...?
169130:14	so, um, how do you feel about the crime in your city *t*-1?	###speakerb43.###right,###right###and, well, it's, it, it seems pretty aggre-, aggressive oriented,###i mean, you, you look at the last mis-, military action which *t*-1 was in the persian gulf and wasn't anywhere near the united states###and it was, uh, you know, it was definitely a projection of u s power on the other side of the globe,###so, at, at any rate, this is getting off the topic###but i-,### my, my point was that there is, for people who *t*-1 don't want *-2 to do the military service, there, it would be neat if there were an alternative that *t*-4 could instill the same sort of personal discipline and sense of purpose and, uh, sense of community that the boy scouts,###speakera1.	how	no	What is a way...?	What is every way...?	What is the way...?
142587:9	well, how do you get the edge though *t*-1?	###speakerb16.###well, that is hard.###now, i asked janice, or somebody recently how you do that *t*-6 uh, when you paint the ceilings *t*-5 you know where you have got that textured stuff, that they have special rollers that *t*-1 are real soft and furry that you paint *t*-3 that with *t*-2 *t*-4.###speakera17.###uh-huh.###speakerb18.###speakera19.###uh-huh.###speakerb20.###speakera21.	how	no	What is a way...?	What is every way...?	What is the way...?
18367:4	how do you put trees in there *t*-1?	###golly.###speakerb38.###but, uh,###speakera39.### is it, is it limestone under, underneath?###speakerb40.###yeah,###it is *?*.### it's, it's solid limestone.###speakera41.	how	no	What is a way...?	What is every way...?	What is the way...?
128902:9	so, how is the weather *t*-1 out there?	###and, course, that's kind of like a cancer in an apartment complex.###you start *-1 letting that happen###and they go down###and then before you know it you have drugs and a lot of other things###so, uh, i'm sure 0 that aggravates it also.###speakerb51.###yeah.###speakera52.###but, unemployment *ich*-1 now in dallas, or in texas is up around six point,###speakera1.	how	no	What is a way...?	What is every way...?	What is the way...?
164759:9	so, how do you keep up *t*-1?	###speakera35.###yeah.###speakerb36.###i guess 0 they closed down about three months ago.###speakera37.###oh, really.###speakerb38.###speakera39.###um.###speakerb40.	how	no	What is a way...?	What is every way...?	What is the way...?
61506:9	well, how did he get out *t*-1?	###uh-huh.###speakera133.###yeah.###the backyard, it's really big *ich*-2, too, 0 for him to run in *t*-1 and stuff.###that's why we couldn't understand why he would want *-2 to get out *t*-3, you know, because he's had all this room 0 * to run in *t*-1 *t*-4,###speakerb134.###yeah.###speakera135.### and, but,###speakerb136.	how	no	What is a way...?	What is every way...?	What is the way...?
72731:16	how, how do you look at * counting credit cards *t*-1?	###speakera29.###yeah.###but other than that, uh, i, i guess 0 over the years * tried *-1 to avoid the national credit card syndrome, of * just putting everything on there day after day after day###speakerb30.###uh-huh.###speakera31.###and then, then you really get socked *-1 to it, if you don't watch it.###speakerb32.###yeah.###speakera33.	how	no	What is a way...?	What is every way...?	What is the way...?
7652:23	how did you, how did they get you *t*-1?	###speakerb73.###well, i figured 0 with texas instruments they'd probably have a few, uh, texans on the line now and then.###speakera74.###yeah,### do, do you work for t i in any way?###speakerb75.###no,###huh-uh.###speakera76.###wow,	how	no	What is a way...?	What is every way...?	What is the way...?
83488:4	how did you put that many miles on it, in, four or five years *t*-1?	###as far as any maintenance on my car, i, i shy away from the oil changes,###that's for sure.###speakera29.###uh-huh,###well my car is, uh, it's an eighty-six###and i really hadn't had any, any trouble with it un-, until that###and the car now has a hundred and thirty something thousand miles on it### and, uh, and this was just recent,###so i really can't complain about this one.###speakerb30.	how	no	What is a way...?	What is every way...?	What is the way...?
5532:4	how you doing *t*-1?	###all right,###bye.###speakera87.###bye-bye.###speakera1.###hello.###speakerb2.###hello.###speakera3.###hey,	how	no	What is a way...?	What is every way...?	What is the way...?
