,workerid,proliferate.condition,order,paraphrase,rating,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,DegreeQ,SubjectAuxInv,WhAll,MatrixNegPresent,EmbeddedNegPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixNegation,MatrixDoSupport,MatrixPred1,MatrixPred2,MatVerbPart,Modal,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
1,89,01_pilot_e02,all-the-a,all,1,,4,example1,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,89,01_pilot_e02,all-the-a,the,0,,4,example1,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,89,01_pilot_e02,all-the-a,a,0,,4,example1,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,89,01_pilot_e02,all-the-a,other,0,,4,example1,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,89,01_pilot_e02,all-the-a,all,0,,5,example2,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,89,01_pilot_e02,all-the-a,the,0.5,,5,example2,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,89,01_pilot_e02,all-the-a,a,0.5,,5,example2,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,89,01_pilot_e02,all-the-a,other,0,,5,example2,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,89,01_pilot_e02,all-the-a,all,1,,6,example3,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,89,01_pilot_e02,all-the-a,the,0,,6,example3,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
